Size,Injection_Rate,Routing,Latency,Throughput,Inflight
4,0.01,DOR,5.490747595279385,99.41482032283953,0.20682781189679741
4,0.01,VALIANT,3.652527074510792,84.18829906821487,0.35358693616341086
4,0.01,RAN_MIN,3.2299835802032235,105.37270702676626,0.37964048224948843
4,0.017487437185929648,DOR,7.530709055907834,61.24531732399766,0.35779022712799885
4,0.017487437185929648,VALIANT,5.440475930613691,56.130238894749404,0.4103741062920107
4,0.017487437185929648,RAN_MIN,5.128622276124969,66.42788587759937,0.6102199510149524
4,0.024974874371859294,DOR,10.51254417736392,47.62598048275849,0.851430433608696
4,0.024974874371859294,VALIANT,8.64913292581825,35.60932829633755,0.7172363798190006
4,0.024974874371859294,RAN_MIN,3.4505896555080025,26.76318895651835,0.5815773801456108
4,0.03246231155778895,DOR,11.256766292386436,18.234289838761047,1.2794891492606753
4,0.03246231155778895,VALIANT,7.678757460025519,34.371597411305714,1.1618779796794614
4,0.03246231155778895,RAN_MIN,3.9334451870584295,16.229556137527247,0.738258223860431
4,0.039949748743718594,DOR,10.286794383481627,20.867557593152533,1.5974351591308302
4,0.039949748743718594,VALIANT,9.07602985850761,13.97135592603911,0.9888365757049329
4,0.039949748743718594,RAN_MIN,6.005315031649724,14.956591081190322,1.352126388929019
4,0.04743718592964824,DOR,11.887873665549371,15.727384686494755,1.8110857706953924
4,0.04743718592964824,VALIANT,8.04828452981793,20.81613480199039,1.597556237151564
4,0.04743718592964824,RAN_MIN,3.8378874054810885,18.957661951826154,1.644395092085468
4,0.05492462311557789,DOR,11.492347484846931,18.303153370826507,1.8588897449960822
4,0.05492462311557789,VALIANT,5.285543506418096,16.695644638171128,1.576539126178814
4,0.05492462311557789,RAN_MIN,6.370714030848875,15.425106996938553,1.2552392015867806
4,0.06241206030150754,DOR,7.708672133259257,8.308467706896847,2.4446331200634512
4,0.06241206030150754,VALIANT,9.856374342592321,15.99117476567642,2.4620131194064916
4,0.06241206030150754,RAN_MIN,4.054488757559334,16.427082071045163,2.384406974236105
4,0.06989949748743718,DOR,10.726582241826016,9.064840045084186,1.9950487731465394
4,0.06989949748743718,VALIANT,8.424852717146418,12.156593872359077,1.59989772642258
4,0.06989949748743718,RAN_MIN,5.140157499358661,12.626996862118837,2.255214727209824
4,0.07738693467336683,DOR,11.76625638122428,12.240833019632847,3.0560912423035105
4,0.07738693467336683,VALIANT,10.046401624933097,8.945366537551706,2.4486547301619783
4,0.07738693467336683,RAN_MIN,7.358079217763985,8.47182219609683,3.0906346847240718
4,0.08487437185929647,DOR,9.606255022615404,6.530989521890068,3.366077965565776
4,0.08487437185929647,VALIANT,10.35041637551172,10.856363512982774,2.3447089455668295
4,0.08487437185929647,RAN_MIN,8.054943015520948,12.961859046349213,3.06645963354924
4,0.09236180904522612,DOR,11.847355875933216,7.389388422253887,2.3420818538237964
4,0.09236180904522612,VALIANT,10.087761540074164,10.696603664401,3.5279753377560437
4,0.09236180904522612,RAN_MIN,6.396702062524296,5.80722506960129,2.629102276843486
4,0.09984924623115578,DOR,13.000243399217307,5.154412266357028,2.687212524784523
4,0.09984924623115578,VALIANT,11.15998945342963,9.049925854150397,2.496596115022577
4,0.09984924623115578,RAN_MIN,5.678839452445217,8.99686073156829,3.9112687188399375
4,0.10733668341708542,DOR,14.032620618935137,8.623932105118971,2.2286384098502423
