Size,Injection_Rate,Traffic,Routing,Latency,Throughput,Inflight_Flits,Energy
4,0.01,uniform,DOR,1.0019652397033894,0.0049950917237112456,0.04,0.024
4,0.01,uniform,VALIANT,1.701398894984358,0.003701785774239722,0.04,0.024
4,0.01,uniform,RAN_MIN,1.8280423666936017,0.0035360149189318808,0.04,0.024
4,0.01,hotspot,DOR,1.3264409477768662,0.004298411274765407,0.08,0.048
4,0.01,hotspot,VALIANT,1.0275198273216055,0.004932134258440373,0.08,0.048
4,0.01,hotspot,RAN_MIN,2.223149810049966,0.0031025551368476347,0.08,0.048
4,0.01,transpose,DOR,1.4466712742232908,0.004087185763512328,0.06,0.036
4,0.01,transpose,VALIANT,1.3616155721653036,0.004234389423013189,0.06,0.036
4,0.01,transpose,RAN_MIN,1.109265044917554,0.004740987873522968,0.06,0.036
4,0.01,bit_complement,DOR,2.2807103203459547,0.003048120383559341,0.068,0.0408
4,0.01,bit_complement,VALIANT,1.685203028655466,0.00372411318372719,0.068,0.0408
4,0.01,bit_complement,RAN_MIN,1.415675405507915,0.0041396290152225235,0.068,0.0408
4,0.02,uniform,DOR,1.9989898023224177,0.0066689123065747005,0.08,0.048
4,0.02,uniform,VALIANT,0.4884004091873242,0.013437244357464349,0.08,0.048
4,0.02,uniform,RAN_MIN,1.504993082769544,0.00798405398305045,0.08,0.048
4,0.02,hotspot,DOR,2.386416201887192,0.005905948592158974,0.16,0.096
4,0.02,hotspot,VALIANT,2.090620203032126,0.006471193057101784,0.16,0.096
4,0.02,hotspot,RAN_MIN,2.318262003184527,0.006027251609669777,0.16,0.096
4,0.02,transpose,DOR,2.509673314759119,0.0056985360762480735,0.12,0.072
4,0.02,transpose,VALIANT,1.7287238570200172,0.0073294334817160965,0.12,0.072
4,0.02,transpose,RAN_MIN,1.056834818712252,0.009723678254591998,0.12,0.072
4,0.02,bit_complement,DOR,1.2488151390429316,0.008893572287365408,0.136,0.0816
4,0.02,bit_complement,VALIANT,2.6373788683017625,0.005498464890278999,0.136,0.0816
4,0.02,bit_complement,RAN_MIN,0.6904792117181343,0.011830964771032477,0.136,0.0816
4,0.03,uniform,DOR,1.4557941265171261,0.01221600771663495,0.12,0.072
4,0.03,uniform,VALIANT,2.6797404069558635,0.008152749020906635,0.12,0.072
4,0.03,uniform,RAN_MIN,2.4770773411688816,0.008627935779511584,0.12,0.072
4,0.03,hotspot,DOR,3.0923851068859225,0.007330688392331759,0.24,0.144
